FIPS,Category,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*",2010 Population,CO 8-hr (ppm),Pb 3-mo (µg/m3),NO2 AM (ppb),NO2 1-hr (ppb),O3 8-hr (ppm),PM10 24-hr (µg/m3),PM2.5 Wtd AM (µg/m3),PM2.5 24-hr (µg/m3),SO2 1-hr (ppb)
1003,Neonatal disorders,8.75,6.54,5.76,4.65,4.56,4.55,4.02,3.68,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,HIV/AIDS and tuberculosis,0.84,1.44,6.51,11.18,3.82,3.18,2.27,2.01,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Musculoskeletal disorders,2.8,2.81,2.99,3.24,3.45,3.33,2.98,2.98,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,"Diabetes, urogenital, blood, and endocrine diseases",46.3,44.87,46.33,50.03,52.7,51.59,50.44,49.57,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Digestive diseases,19.34,18.24,17.32,16.74,15.7,14.7,13.88,13.32,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Chronic respiratory diseases,37.15,39.46,42.97,48.15,52.07,52.56,55.12,54.28,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Neurological disorders,95.52,96.33,96.75,97.94,107.34,104.2,104.04,105.15,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Cirrhosis and other chronic liver diseases,15.19,15.37,14.85,14.72,15.04,17.14,19.22,19.69,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Mental and substance use disorders,3.43,3.78,4.84,5.16,7.2,12.04,14.78,15.98,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,"Forces of nature, war, and legal intervention",0.3,0.29,0.25,0.18,0.19,1.07,0.2,0.05,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Unintentional injuries,29.12,25.73,23.2,21.48,20.47,21.51,19.94,19.6,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Nutritional deficiencies,1.91,1.9,1.85,2.2,2.05,1.51,1.27,1.29,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,"Other communicable, maternal, neonatal, and nutritional diseases",1.57,1.71,2.08,2.48,2.59,1.69,1.18,1.19,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Cardiovascular diseases,445.67,419.28,379.58,357.73,333.18,308.99,279.98,272.04,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,"Diarrhea, lower respiratory, and other common infectious diseases",23.83,24.34,25.57,27.06,25.87,22.34,21.78,23.98,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Maternal disorders,0.22,0.19,0.22,0.19,0.18,0.24,0.25,0.26,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Other non-communicable diseases,9.72,9.05,8.77,7.52,6.83,6.83,6.54,6.34,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Self-harm and interpersonal violence,25.08,25.82,25.33,24.67,22.27,23.16,23.13,23.78,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Neoplasms,233.78,228.16,229.82,233.49,217.76,206.61,201.58,200.69,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Transport injuries,35.06,30.23,29.22,28.56,26.36,26.85,21.77,20.74,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1003,Neglected tropical diseases and malaria,0.05,0.04,0.03,0.02,0.03,0.05,0.05,0.04,182265.0,ND,ND,ND,ND,0.065,ND,7.6,18,ND
1027,Neonatal disorders,10.76,8.33,7.47,6.17,6.42,6.79,5.88,5.42,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,HIV/AIDS and tuberculosis,1.08,1.37,5.37,9.92,3.18,2.71,1.65,1.36,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Musculoskeletal disorders,3.08,3.1,3.24,3.55,3.88,3.67,3.18,3.09,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,"Diabetes, urogenital, blood, and endocrine diseases",57.23,58.14,60.05,64.99,70.85,73.02,66.64,65.66,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Digestive diseases,24.36,23.56,22.48,22.02,21.28,20.27,18.47,17.77,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Chronic respiratory diseases,43.58,46.51,49.73,57.27,66.61,70.6,72.86,76.28,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Neurological disorders,53.56,55.06,58.84,64.59,73.34,77.95,79.68,82.62,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Cirrhosis and other chronic liver diseases,16.58,16.21,15.67,15.7,16.51,18.39,20.12,21.02,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Mental and substance use disorders,3.2,3.11,3.53,4.0,5.1,7.48,9.21,9.58,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,"Forces of nature, war, and legal intervention",1.53,0.48,1.44,0.35,0.4,2.19,0.52,0.14,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Unintentional injuries,37.17,33.29,30.97,28.87,27.3,27.06,25.92,25.19,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Nutritional deficiencies,2.1,2.23,2.21,2.55,2.77,2.23,1.98,1.98,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,"Other communicable, maternal, neonatal, and nutritional diseases",1.69,1.88,2.41,3.07,3.2,2.0,1.34,1.3,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Cardiovascular diseases,489.58,480.02,450.0,457.78,447.89,419.05,379.96,390.37,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,"Diarrhea, lower respiratory, and other common infectious diseases",34.45,37.66,42.02,46.54,46.58,47.98,46.99,49.45,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Maternal disorders,0.27,0.26,0.33,0.33,0.31,0.46,0.49,0.48,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Other non-communicable diseases,12.21,11.48,11.08,9.97,9.26,8.94,8.53,8.52,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Self-harm and interpersonal violence,28.67,27.56,27.15,26.11,23.51,22.99,23.35,24.71,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Neoplasms,245.76,244.31,244.05,250.61,242.24,234.27,223.68,226.77,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Transport injuries,46.82,42.68,42.35,40.56,38.09,37.51,31.88,30.75,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1027,Neglected tropical diseases and malaria,0.05,0.05,0.04,0.03,0.04,0.06,0.05,0.05,13932.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Neonatal disorders,8.57,6.69,6.17,5.02,5.1,5.3,4.82,4.44,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,HIV/AIDS and tuberculosis,1.25,1.51,5.6,9.57,3.13,2.57,1.74,1.42,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Musculoskeletal disorders,3.08,3.17,3.31,3.56,3.82,3.52,3.08,2.98,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,"Diabetes, urogenital, blood, and endocrine diseases",47.3,51.11,54.74,62.46,69.91,74.53,74.28,73.28,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Digestive diseases,18.45,19.15,19.16,19.51,19.51,19.29,18.68,18.57,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Chronic respiratory diseases,37.48,43.59,48.93,58.21,66.49,71.36,76.79,80.43,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Neurological disorders,53.6,61.72,68.35,81.43,92.09,107.3,126.18,128.28,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Cirrhosis and other chronic liver diseases,14.7,15.72,15.82,16.69,17.22,19.94,22.69,24.09,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Mental and substance use disorders,2.26,2.42,2.94,3.53,4.62,6.91,9.11,10.2,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,"Forces of nature, war, and legal intervention",0.32,0.32,0.33,0.29,0.31,1.76,0.42,0.11,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Unintentional injuries,27.01,25.18,25.42,24.59,24.12,25.92,26.33,25.89,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,Nutritional deficiencies,1.79,1.94,2.1,2.39,2.51,2.14,2.01,2.08,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
1033,"Other communicable, maternal, neonatal, and nutritional diseases",1.71,1.91,2.41,2.99,3.03,1.98,1.36,1.28,54428.0,ND,ND,ND,ND,ND,ND,IN,IN,ND
