FIPS,County,State,Medicare Beneficiaries with CKD Percentage,Population,Percent Age 0-29,Percent Age 30-59,Percent Age 60+,Percent Male,Percent White,Percent Black,Percent Native American,Percent Asian,Percent Pacific Islander,Percent Hispanic,Percent Poverty,Median Household Income,Percent Uninsured,Percent Unemployed,Percent Renters,Percent Housing Insecurity,Percent Owners Housing Insecurity,Percent Renters Housing Insecurity,"Developed, High Intensity (HID)","Developed, Medium Intensity (MID)","Developed, Low Intensity (LID)","Developed, Open Space (OSD)",Cultivated Crops (CRP),Pasture/Hay (PAS),Grassland (GRS),Deciduous Forest (DFO),Evergreen Forest (EFO),Mixed Forest (MFO),Scrub/Shrub (SHB),Woody Wetland (WDW),Emergent Herbaceous Wetland (EHW),Barren Land (BRN),Open Water (WTR),Perennial Snow/Ice (PIS),Percent Area Developed,Percent Area Agriculture,Percent Area Undeveloped,Total Area,Avg Winter Temperature,Avg Spring Temperature,Avg Summer Temperature,Avg Autumn Temperature,Winter Precipitation,Spring Precipitation,Summer Precipitation,Autumn Precipitation,Avg Annual Temperature,Annual Precipitation,"HIV Prevalence (per 100,000)",Diabetes Percentage,Adult Smoking Percentage,Excessive Drinking Percentage,Food Insecurity Percentage,Enrolled in Medicare,Population Density,Reported CKD Prevalence (%)
01001,Autauga,Alabama,22.35,55869,0.3799781632032075,0.3999713615779771,0.22005047521881543,0.4849200809035422,0.7797347366160124,0.21092197819900124,0.010291932914496411,0.017004063076124506,0.0018614974314915247,0.029909252000214787,0.121,58233.0,0.094,0.029,0.2671184856274831,0.25800420659032486,0.1996173469387755,0.41819772528433946,0.0016545881730037394,0.007197458552566266,0.018878851053972665,0.040421589066481356,0.03142062940534101,0.1518581025182832,0.056090539064826764,0.14740726033290313,0.21180383202620867,0.13797610774678182,0.07118038320262088,0.09866309275621299,0.009034051424600417,0.002184056388364936,0.014229458287832158,0.0,0.06815248684602403,0.1832787319236242,0.7485687812303519,604.38,51.7,65.5,81.1,67.8,20.48,12.7,10.64,7.46,66.52499999999999,51.28,222.0,11.0,20.0,16.0,16.0,11059.0,92.44018663754592,4.424075068463728
01003,Baldwin,Alabama,21.21,223234,0.3403469005617424,0.3775365759696104,0.28211652346864724,0.48490373330227476,0.8919026671564367,0.09565747153211428,0.01614001451391813,0.015011154214859743,0.0016440148006128098,0.04718815234238512,0.10099999999999999,59871.0,0.109,0.029,0.24755961942419374,0.2430495489929569,0.1919697840545201,0.398302969802845,0.003014351470421368,0.011529524363952106,0.022299294020138433,0.03975391841023794,0.07409088442354846,0.04936925558839055,0.03771146094910137,0.0005476154062467625,0.2572953719097964,0.009112123021060991,0.037815063863796704,0.21920403360681212,0.021707277364736526,0.00462759685639156,0.2119222287453687,0.0,0.07659708826474984,0.123460140011939,0.7999427717233112,2026.97,56.1,67.2,81.8,69.9,17.24,12.73,21.06,10.08,68.75,61.11,173.0,9.0,20.0,22.0,13.0,53490.0,110.13187170999078,5.082213730883289
01005,Barbour,Alabama,23.53,24686,0.3591914445434659,0.38151178805800856,0.2592967673985255,0.5292068378838208,0.5014988252450782,0.4908450133679008,0.012031110751032975,0.0061573361419428015,0.002471036214858624,0.04524831888519809,0.271,35972.0,0.13,0.04,0.3911182450508293,0.2857142857142857,0.2056239015817223,0.4103967168262654,0.0010503388724888607,0.0036374893584087916,0.011144648247039703,0.026457483388061514,0.045352526894203236,0.08200382544473558,0.04622596658816766,0.06912335400842483,0.32020962552655147,0.1766117173593375,0.10456952690525943,0.08550864041925105,0.002929892644311033,0.0017468793879288423,0.023428084955830486,0.0,0.04228995986599887,0.12735635233893883,0.8303536877950622,904.47,52.7,65.9,80.8,68.0,14.47,10.36,10.69,8.15,66.85,43.669999999999995,498.0,17.0,28.0,14.0,21.0,6152.0,27.293332006589495,5.863913149153366
01007,Bibb,Alabama,37.21,22394,0.359515941770117,0.41171742431008307,0.22876663391979996,0.5326873269625793,0.7778869340001786,0.21912119317674378,0.009243547378762169,0.004331517370724301,0.001786192730195588,0.027819951772796284,0.203,47918.0,0.11,0.032,0.25616835994194487,0.2227866473149492,0.17251461988304093,0.36827195467422097,0.0005428101601289972,0.0034803710267094527,0.011814103485160526,0.03673547583696537,0.000622635183677379,0.05163082523109344,0.04915624950109359,0.21316474288359913,0.3236904704886887,0.1660520139853441,0.06949566550122131,0.06301387358909269,0.002394750706451458,0.002203170649935341,0.006002841770838321,0.0,0.05257276050896434,0.052253460414770816,0.8951737790762649,626.3700000000001,49.6,63.9,79.6,65.7,24.59,11.05,11.44,9.32,64.7,56.400000000000006,208.0,13.0,25.0,16.0,16.0,4713.0,35.7520315468493,7.8311480753773335
01009,Blount,Alabama,31.03,57826,0.368432884861481,0.38126448310448585,0.25030263203403313,0.49237367274236504,0.9713104831736589,0.022066198595787363,0.014180472451838273,0.005395496835333587,0.001677446131497942,0.0965309722270259,0.163,52902.0,0.14300000000000002,0.028,0.21228112257136003,0.19525065963060687,0.15312024353120243,0.35141242937853107,0.0015216021394648263,0.006731936738238323,0.02217850391159338,0.05533098688963005,0.011834683306948651,0.28108141339932063,0.023223644775064167,0.35774556967861915,0.10592810045648064,0.08585524799040929,0.02795751809784363,0.005333292347417119,0.0010144014263098844,0.0026282218772574273,0.011634876965402764,0.0,0.08576302967892657,0.2929160967062693,0.6213208736148043,650.63,47.5,62.6,78.8,64.4,28.54,14.63,12.51,11.93,63.325,67.61,72.0,11.0,22.0,16.0,15.0,13044.0,88.87693466332631,6.999538615847543
01011,Bullock,Alabama,20.0,10101,0.3641223641223641,0.39768339768339767,0.23819423819423818,0.5452925452925453,0.2777942777942778,0.7099297099297099,0.013761013761013761,0.004158004158004158,0.008415008415008415,0.08553608553608553,0.3,31906.0,0.111,0.039,0.2883522727272727,0.26420454545454547,0.20359281437125748,0.41379310344827586,0.0003519380589016333,0.001647710003039465,0.00803058661675545,0.019820511589960167,0.020268432755834974,0.1346483018988658,0.04183263745580777,0.10967669690134536,0.2807025963430436,0.15613252067636094,0.08534497928364608,0.1262017884852266,0.0035833693269984486,0.0006078930108300938,0.011150037593383564,0.0,0.029850746268656716,0.15491673465470077,0.8152325190766425,625.11,52.4,65.4,80.3,67.6,16.48,12.13,11.9,7.45,66.425,47.96,608.0,18.0,25.0,13.0,16.0,2259.0,16.158756058933626,4.472824472824473
01013,Butler,Alabama,29.46,19448,0.35607774578362816,0.3626593994241053,0.28126285479226654,0.4640065816536405,0.5302858905800082,0.45583093377211026,0.008381324557795146,0.016197038255861784,0.0008227067050596463,0.01486013986013986,0.21600000000000003,39944.0,0.11599999999999999,0.039,0.3005380476556495,0.24519600307455802,0.1967032967032967,0.35805626598465473,0.0006173236447816861,0.0025078773069256,0.007034917368657964,0.03402996591859045,0.009709986496045271,0.07166098643174072,0.04732814609992926,0.09068227123657643,0.3703813259597454,0.15941097035560414,0.09860459134460807,0.09976207317857372,0.003781107324287827,0.0005144363706514051,0.003974020963282104,0.0,0.04419008423895569,0.081370972927786,0.8744389428332583,777.55,53.4,65.8,80.5,68.1,18.13,11.95,11.39,9.27,66.95,50.739999999999995,396.0,15.0,25.0,14.0,17.0,4925.0,25.011896341071314,7.460432949403538
01015,Calhoun,Alabama,25.12,113605,0.37543241934773997,0.3744201399586286,0.25014744069363143,0.4795651599841556,0.7695611988908939,0.22431231019761455,0.01204172351569033,0.013696580256150698,0.002649531270630694,0.040614409577043264,0.172,47747.0,0.11900000000000001,0.037,0.29929380114336956,0.25042035646228,0.18173092305231164,0.41123595505617977,0.005906256683612195,0.015119359031308097,0.0406692660776862,0.09096293371501901,0.014247404701972593,0.1457644407153316,0.03418719049734301,0.3669282529654674,0.1492358060641956,0.08408601089120314,0.031719395225638755,0.008291792112926313,0.001694552753236925,0.0025006992086603163,0.008686639356398995,0.0,0.1526578155076255,0.16001184541730418,0.6873303390750704,607.8299999999999,47.8,62.9,78.7,64.7,26.27,11.04,14.24,10.82,63.525000000000006,62.370000000000005,272.0,13.0,23.0,16.0,17.0,26809.0,186.9025878946416,5.927926411689627
01017,Chambers,Alabama,27.51,33254,0.35622782221687616,0.37006074457208155,0.2737114332110423,0.47798761051302097,0.5819450291694233,0.40978528898779093,0.007517892584350754,0.01305106152643291,0.0009021471101220905,0.02619233776387803,0.196,42015.0,0.122,0.031,0.3252788104089219,0.2828996282527881,0.20341786108048512,0.448,0.0017407738983388045,0.004509433336649094,0.019264564474949435,0.04128120958917736,0.0005139427699857422,0.1166650087867635,0.06800623362843597,0.21278888557312908,0.3525978978082828,0.0668291388971783,0.049272190722504064,0.0516429589840512,0.0013594615206074473,0.0007792035544945124,0.012749096455452769,0.0,0.0667959812991147,0.11717895155674925,0.8160250671441361,603.18,49.1,62.9,78.5,64.8,20.75,13.51,14.33,9.34,63.824999999999996,57.93,407.0,14.0,24.0,14.0,15.0,8833.0,55.131138300341526,7.307266193540627
01019,Cherokee,Alabama,35.17,26196,0.31756756756756754,0.36345243548633377,0.31897999694609863,0.4934341120781799,0.9469766376546037,0.047564513666208584,0.01561307069781646,0.0057260650480989465,0.0006871278057718735,0.017140021377309512,0.159,45982.0,0.13,0.03,0.22682813227759666,0.19562179785747555,0.16977724262492475,0.28336755646817247,0.0014501691864050807,0.0049339089560448725,0.01906889137065991,0.03867117830413548,0.0858100111679696,0.15278449152401113,0.03885453302885337,0.24132815495141102,0.18230460220359043,0.09729468437984432,0.04213824946243729,0.015685163269048057,0.0026003033687263515,0.00206690780591069,0.07500875102095245,0.0,0.06412414781724535,0.23859450269198074,0.6972813494907739,599.93,46.7,62.3,77.9,63.8,27.9,13.07,12.49,11.58,62.675,65.03999999999999,119.0,11.0,25.0,16.0,16.0,7232.0,43.66509426099712,9.709476255916934
